Cod_Cli-Cod_cli,PROVINCIA,TOTAL_VOL,Uds_AH,Uds_DNT,Uds_VH,Resto_Farmacos,MUESTRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2066,"A CORUNA",0,0,23,23,"1249952,262",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2067,"A CORUNA",0,0,40,45,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2068,"A CORUNA",0,131925,125,76,"5468495,432",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2069,"A CORUNA",0,0,6,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2070,"A CORUNA",0,63450,142,195,"7996508,631",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2071,"A CORUNA",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2072,"A CORUNA",0,36900,38,78,"7338720,666",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2073,"A CORUNA",0,0,6,3,"643179,0863",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2074,"A CORUNA",0,15000,12,44,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2075,"A CORUNA",0,0,7,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2076,"A CORUNA",0,3750,19,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2077,"A CORUNA",0,0,28,10,"705180,3257",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2078,"A CORUNA",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2079,"A CORUNA",0,70250,52,41,"5352138,099",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2080,"A CORUNA",0,34200,13,25,"2592684,88",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2081,"A CORUNA",0,116500,150,157,"14887856,9",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2082,"A CORUNA",0,4800,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2083,"A CORUNA",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2084,"A CORUNA",0,0,0,6,"1041854,645",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2085,"A CORUNA",0,0,180,210,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2086,"A CORUNA",0,1000,0,19,"255511,9597",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2087,"A CORUNA",0,161300,173,199,"7929786,712",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2088,"A CORUNA",0,39800,264,248,"35488168,35",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2089,"A CORUNA",0,0,48,43,"631599,5203",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2090,"A CORUNA",0,313300,269,241,"16631324,06",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2091,"A CORUNA",0,202700,338,394,"43348364,89",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2092,"A CORUNA",0,10500,48,25,"5222506,269",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2093,"A CORUNA",0,314850,417,549,"26745353,81",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2094,"A CORUNA",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2095,"A CORUNA",0,15000,97,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2096,"A CORUNA",0,17400,57,138,"5180826,591",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S160,ALICANTE,"9523746,907",0,4,50,"771271,2031",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2097,"A CORUNA",0,0,56,43,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2098,"A CORUNA",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2099,"A CORUNA",0,104675,339,471,"23070191,52",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2100,"A CORUNA",0,15000,14,42,"2616971,495",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2101,"A CORUNA",0,84700,212,281,"17307310,01",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2102,"A CORUNA",0,0,5,13,"3370101,169",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2103,"A CORUNA",0,34500,28,22,"3171119,606",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2104,"A CORUNA",0,75200,134,138,"4452127,607",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2106,"A CORUNA",0,15000,155,158,"13205526,08",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S170,ALICANTE,"150234419,5",53000,61,53,"7447885,291",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2107,"A CORUNA",0,16500,21,22,"597985,9594",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2108,"A CORUNA",0,60000,38,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2109,"A CORUNA",0,36000,29,34,"533013,543",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2110,"A CORUNA",0,63900,21,15,"1854346,391",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2111,"A CORUNA",0,6250,183,223,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2112,"A CORUNA",0,47925,671,265,"590584,8309",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2113,"A CORUNA",0,28200,156,137,"6601308,815",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2114,"A CORUNA",0,19600,114,176,"9797033,439",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2115,"A CORUNA",0,57650,149,140,"4657627,792",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2116,"A CORUNA",0,20400,21,10,"1498388,194",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2117,"A CORUNA",0,10500,5,21,"2830809,456",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2118,"A CORUNA",0,15300,19,14,"1678248,656",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2119,"A CORUNA",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2120,"A CORUNA",0,248625,190,155,"19074991,43",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2121,"A CORUNA",0,183200,173,201,"15762498,62",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2122,"A CORUNA",0,105000,59,79,"4305055,25",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2123,"A CORUNA",0,0,4,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2124,"A CORUNA",0,212750,153,310,"34411598,68",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2125,"A CORUNA",0,36900,20,9,"124967,3171",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2126,"A CORUNA",0,63300,54,31,"3375242,699",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2127,"A CORUNA",0,7500,15,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2128,"A CORUNA",0,54000,57,25,"2948146,652",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2129,"A CORUNA",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2130,"A CORUNA",0,0,107,83,"9849961,247",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2131,"A CORUNA",0,45000,17,18,"779818,8099",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2133,"A CORUNA",0,0,4,6,"60713,64868",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2134,"A CORUNA",0,0,22,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2135,"A CORUNA",0,17400,22,34,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2136,"A CORUNA",0,28800,105,92,"2479871,752",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2137,"A CORUNA",0,0,72,46,"2083494,115",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2138,"A CORUNA",0,0,7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2139,"A CORUNA",0,170150,176,87,"-3795942,387",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2140,"A CORUNA",0,0,17,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2141,"A CORUNA",0,103050,73,20,"168320,5337",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2142,"A CORUNA",0,257000,470,300,"6006213,674",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2143,"A CORUNA",0,143550,120,40,"236010,4439",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2144,"A CORUNA",0,455600,358,109,"4339395,611",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2145,"A CORUNA",0,0,523,179,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2146,"A CORUNA",0,429750,383,129,"498139,4359",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2147,"A CORUNA",0,106700,437,186,"14226986,87",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2148,"A CORUNA",0,37200,610,326,"964366,7519",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2149,"A CORUNA",0,2400,30,35,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2150,"A CORUNA",0,97700,320,236,"11969714,67",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2151,"A CORUNA",0,263500,394,309,"19482528,48",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2152,"A CORUNA",0,295350,305,159,"18941518,51",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S2153,"A CORUNA",0,426500,203,100,"7519690,637",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
