Cod_Cli;PROVINCIA;Uds_AH;Uds_DNT;Uds_VH;Resto_Farmacos
anon_S508;AVILA;101300;130;208;29461779,98
anon_S509;AVILA;150200;119;126;14127520,42
anon_S510;AVILA;0;0;0;0
anon_S511;AVILA;9600;1;2;44324,58002
anon_S512;AVILA;11250;11;0;0
anon_S513;AVILA;4125;7;3;754357,4167
anon_S514;OURENSE;12900;12;2;753309,8156
anon_S515;BADAJOZ;41700;37;122;15492155,36
anon_S516;BADAJOZ;0;244;320;777253,4635
anon_S517;BADAJOZ;16900;133;149;16328680,7
anon_S518;BADAJOZ;0;45;196;13949648,41
anon_S519;BADAJOZ;76800;144;223;13519754,71
anon_S520;BADAJOZ;7200;58;49;1082955,018
anon_S521;BADAJOZ;103500;178;298;163183697,5
anon_S522;BADAJOZ;17400;37;71;3894899,182
anon_S523;BADAJOZ;0;512;453;0
anon_S524;BADAJOZ;273400;198;379;46078263,3
anon_S525;BADAJOZ;14500;131;226;24021228,63
anon_S526;BADAJOZ;0;56;125;3949200,497
anon_S527;BADAJOZ;32400;32;121;8025222,281
anon_S528;BADAJOZ;43200;248;659;5616608,173
anon_S529;BADAJOZ;0;199;577;1844857,068
anon_S530;BADAJOZ;3750;22;78;845474,0972
anon_S531;BADAJOZ;4800;20;12;2191400,284
anon_S532;BADAJOZ;32500;30;167;932392,663
anon_S533;BADAJOZ;30000;187;477;40553422,94
anon_S534;BADAJOZ;0;76;88;616493,0521
anon_S535;BADAJOZ;33000;75;120;19211270,45
anon_S536;BADAJOZ;6750;3;30;4233035,846
anon_S537;BADAJOZ;6000;266;333;6288278,913
anon_S538;BADAJOZ;18000;98;341;2114469,258
anon_S539;BADAJOZ;0;38;216;2205316,88
anon_S540;BADAJOZ;0;32;205;7893892,169
anon_S541;BADAJOZ;25500;48;83;1624152,705
anon_S542;BADAJOZ;8050;31;92;17566409,4
anon_S543;BADAJOZ;60500;242;346;28645120,32
anon_S544;BADAJOZ;97500;155;599;18522657,44
anon_S545;BADAJOZ;9600;39;70;1357701,976
anon_S546;BADAJOZ;3000;126;217;421523,6931
anon_S547;BADAJOZ;24000;1;37;827566,3195
anon_S548;BADAJOZ;0;44;134;16520176,59
anon_S549;BADAJOZ;38400;45;266;9924218,863
anon_S550;BADAJOZ;0;10;209;0
anon_S551;BADAJOZ;4800;171;248;4147814,851
anon_S552;BADAJOZ;0;10;55;735171,7027
anon_S553;BADAJOZ;53100;165;255;0
anon_S554;BADAJOZ;29400;3;79;5633969,455
anon_S555;BADAJOZ;0;17;90;13027361,12
anon_S556;BADAJOZ;3000;35;134;10299967,24
anon_S557;BADAJOZ;0;0;0;24699,73465
anon_S558;BADAJOZ;36000;59;147;10868138,83
anon_S559;BADAJOZ;7500;28;145;5578311,348
